"Date","Price","Volume","Market_cap"
"2023-07-27 00:00:00 UTC+0","1861.71733772","3484285219.058868","224647768760.27480000"
"2023-07-26 00:00:00 UTC+0","1873.04688669","4884452327.201894","225783763644.40650000"
"2023-07-25 00:00:00 UTC+0","1858.76901316","3483777005.621428","223579788814.47433000"
"2023-07-24 00:00:00 UTC+0","1851.34783700","5108140504.089955","222520926782.69208000"
"2023-07-23 00:00:00 UTC+0","1890.04357094","3714041601.443805","227171911934.77280000"
"2023-07-22 00:00:00 UTC+0","1865.01901089","3390342995.492336","224163698022.07544000"
"2023-07-21 00:00:00 UTC+0","1892.88253128","3787302741.264982","227664525197.66873000"
"2023-07-20 00:00:00 UTC+0","1891.60441814","6266423693.553873","227363376369.04343000"
"2023-07-19 00:00:00 UTC+0","1889.89865849","5110439543.500513","227164331825.92706000"
"2023-07-18 00:00:00 UTC+0","1897.75124840","5003678946.048357","228111236532.55990000"
"2023-07-17 00:00:00 UTC+0","1912.64711946","5779929918.215233","229902121901.86220000"
"2023-07-16 00:00:00 UTC+0","1923.63194139","3774972722.805428","231220923410.61346000"
"2023-07-15 00:00:00 UTC+0","1932.67423781","3919625782.662265","232310576653.03003000"
"2023-07-14 00:00:00 UTC+0","1939.17032414","9685548979.157433","233097410482.30502000"
"2023-07-13 00:00:00 UTC+0","2006.54292904","10500595762.212345","241199640516.33572000"
"2023-07-12 00:00:00 UTC+0","1872.69805844","5900083238.217956","225113124570.65010000"
"2023-07-11 00:00:00 UTC+0","1878.83819022","4284661417.604021","225851722466.90115000"
"2023-07-10 00:00:00 UTC+0","1880.45728195","5532864068.287355","226046728876.66870000"
"2023-07-09 00:00:00 UTC+0","1863.02209181","3519457841.553822","223951444623.52322000"
"2023-07-08 00:00:00 UTC+0","1866.40740951","3380130033.517571","224359252862.84683000"
"2023-07-07 00:00:00 UTC+0","1871.42325434","5670756222.623450","224964611954.28125000"
"2023-07-06 00:00:00 UTC+0","1850.47667530","8733073867.372480","222453397293.78787000"
"2023-07-05 00:00:00 UTC+0","1910.87428338","5990526169.286611","229720633922.45752000"
"2023-07-04 00:00:00 UTC+0","1936.30237686","5328170614.930827","232780495686.33536000"
"2023-07-03 00:00:00 UTC+0","1954.86889741","7623787188.251066","235012842091.19458000"
"2023-07-02 00:00:00 UTC+0","1937.25388881","6082344371.844990","232894251499.06485000"
"2023-07-01 00:00:00 UTC+0","1924.63942225","4994845288.046420","231378395920.44174000"
"2023-06-30 00:00:00 UTC+0","1933.11949868","13050998157.664589","232399930549.42566000"
"2023-06-29 00:00:00 UTC+0","1852.22965107","5492601970.305142","222677836974.83945000"
"2023-06-28 00:00:00 UTC+0","1829.22028027","6921134862.653276","219911928728.46900000"
"2023-06-27 00:00:00 UTC+0","1889.63784655","7805108507.367732","227109006221.21225000"
"2023-06-26 00:00:00 UTC+0","1858.71103056","8772328031.531685","223395088982.66675000"
"2023-06-25 00:00:00 UTC+0","1899.48685643","7001675827.035575","228302426906.24527000"
"2023-06-24 00:00:00 UTC+0","1876.85750607","4956373063.585184","225586221010.05737000"
"2023-06-23 00:00:00 UTC+0","1893.26028535","8521835119.545213","227563239645.40660000"
"2023-06-22 00:00:00 UTC+0","1872.90910826","8410456124.591728","225120356192.75784000"
"2023-06-21 00:00:00 UTC+0","1890.30983790","12436638723.276693","227216324603.38980000"
"2023-06-20 00:00:00 UTC+0","1791.36315250","7069811055.650002","215333047721.99872000"
"2023-06-19 00:00:00 UTC+0","1730.39703206","5243378520.813220","208008996265.53810000"
"2023-06-18 00:00:00 UTC+0","1722.02275891","3783322648.800957","207005849229.36755000"
"2023-06-17 00:00:00 UTC+0","1729.85080156","4824363844.343601","207950214268.31546000"
"2023-06-16 00:00:00 UTC+0","1718.67028546","6135067094.953976","206609781815.71370000"
"2023-06-15 00:00:00 UTC+0","1665.50692649","7226951561.792079","200222985891.53180000"
"2023-06-14 00:00:00 UTC+0","1653.73248395","7054619430.837488","198818483869.43857000"
"2023-06-13 00:00:00 UTC+0","1741.79080107","6116685382.914136","209410224366.35312000"
"2023-06-12 00:00:00 UTC+0","1745.47400951","5742592071.525617","209852917553.48508000"
"2023-06-11 00:00:00 UTC+0","1752.90585886","4403477962.220214","210747106767.05127000"
"2023-06-10 00:00:00 UTC+0","1753.79216049","10688769391.114033","210854640009.45020000"
"2023-06-09 00:00:00 UTC+0","1844.09553633","4359989545.513373","221713987694.35895000"
"2023-06-08 00:00:00 UTC+0","1847.98528206","4206865138.428986","222185005491.51825000"
"2023-06-07 00:00:00 UTC+0","1831.61979436","6847725269.927860","220218404411.00180000"
"2023-06-06 00:00:00 UTC+0","1887.53229717","8345248735.076628","226945348492.23117000"
"2023-06-05 00:00:00 UTC+0","1817.48400458","8841595945.356037","218526448911.55975000"
