"Date","Price","Volume","Market_cap"
"2023-08-12 00:00:00 UTC+0","240.19732179","174170756.797908","37436000665.81061600"
"2023-08-11 00:00:00 UTC+0","239.62884495","276812089.194591","37347400596.22092400"
"2023-08-10 00:00:00 UTC+0","241.12668730","273193011.765070","37580847110.69521000"
"2023-08-09 00:00:00 UTC+0","243.69754039","311714491.111305","37981527922.08790600"
"2023-08-08 00:00:00 UTC+0","244.95195293","350264409.262620","38177034634.07534000"
"2023-08-07 00:00:00 UTC+0","241.66569608","307207904.414453","37664854428.36145000"
"2023-08-06 00:00:00 UTC+0","242.91191663","281019539.855054","37859084376.58882000"
"2023-08-05 00:00:00 UTC+0","243.19655832","195836712.472185","37903447264.13409000"
"2023-08-04 00:00:00 UTC+0","241.54781090","258432731.741976","37646481410.85791000"
"2023-08-03 00:00:00 UTC+0","240.87903815","282882008.823323","37542249703.74694000"
"2023-08-02 00:00:00 UTC+0","240.29810759","483527564.416642","37451708657.33351000"
"2023-08-01 00:00:00 UTC+0","247.22076830","607040072.913223","38530641298.86436000"
"2023-07-31 00:00:00 UTC+0","240.97154300","286230282.477172","37556667065.34608000"
"2023-07-30 00:00:00 UTC+0","242.46479659","229475370.547772","37789398395.03556000"
"2023-07-29 00:00:00 UTC+0","242.53876307","134952339.410329","37800926456.65012000"
"2023-07-28 00:00:00 UTC+0","241.82271534","217799157.170374","37689326695.90145000"
"2023-07-27 00:00:00 UTC+0","240.78539670","285616867.547852","37527655196.38376000"
"2023-07-26 00:00:00 UTC+0","239.25614121","278440718.964264","37289312782.99100500"
"2023-07-25 00:00:00 UTC+0","237.83403430","261086903.631541","37067670031.24593000"
"2023-07-24 00:00:00 UTC+0","239.15963134","379410775.688389","37274271218.47654000"
"2023-07-23 00:00:00 UTC+0","242.69017689","180906045.421864","37824525086.82053000"
"2023-07-22 00:00:00 UTC+0","241.09594728","187561811.455111","37576056118.38035600"
"2023-07-21 00:00:00 UTC+0","243.77458920","288396254.593410","37993536379.63657000"
"2023-07-20 00:00:00 UTC+0","242.62463038","386163047.232438","37814309322.42246000"
"2023-07-19 00:00:00 UTC+0","240.97224351","384393973.345636","37556776242.86582000"
