"Date","Price","Volume","Market_cap"
"2023-09-23 00:00:00 UTC+0","26597.65247989","5517810508.611216","518497616380.14510000"
"2023-09-22 00:00:00 UTC+0","26598.95120137","7812555661.736276","518497159418.27264000"
"2023-09-21 00:00:00 UTC+0","26570.54023237","10077612318.828209","517922269898.44240000"
"2023-09-20 00:00:00 UTC+0","27132.04943124","9665287526.070507","528843988772.29034000"
"2023-09-19 00:00:00 UTC+0","27213.10902259","10061961887.439661","530398951896.24910000"
"2023-09-18 00:00:00 UTC+0","26747.86314459","11542159846.333216","521307828329.05390000"
"2023-09-17 00:00:00 UTC+0","26532.61722055","4354934194.299830","517087039737.20544000"
"2023-09-16 00:00:00 UTC+0","26571.02254016","4850704727.294970","517810587061.01420000"
"2023-09-15 00:00:00 UTC+0","26606.54314152","7907001518.089457","518476544529.45100000"
"2023-09-14 00:00:00 UTC+0","26541.12537954","9741346757.501194","517170893963.89110000"
"2023-09-13 00:00:00 UTC+0","26230.60783317","9072385718.969284","511093373537.06030000"
"2023-09-12 00:00:00 UTC+0","25831.19737236","13302129252.163640","503287765205.36365000"
"2023-09-11 00:00:00 UTC+0","25168.83504023","10217664215.545023","490360159555.65546000"
"2023-09-10 00:00:00 UTC+0","25836.41539240","4931487906.428573","503340988357.50574000"
"2023-09-09 00:00:00 UTC+0","25905.70910681","3427638283.479992","504667176181.53143000"
"2023-09-08 00:00:00 UTC+0","25912.42218339","7262120688.428701","504773491796.40500000"
"2023-09-07 00:00:00 UTC+0","26236.09800616","7570411549.831042","511056547407.46497000"
"2023-09-06 00:00:00 UTC+0","25751.24454857","9264104923.600525","501588844361.90800000"
"2023-09-05 00:00:00 UTC+0","25782.02673597","8302825047.253602","502166512380.76154000"
"2023-09-04 00:00:00 UTC+0","25807.65047502","7934655121.308970","502645930433.03906000"
"2023-09-03 00:00:00 UTC+0","25978.48127973","6208739132.774846","505948770139.31710000"
"2023-09-02 00:00:00 UTC+0","25879.19880598","5891514333.927947","503989788262.05115000"
"2023-09-01 00:00:00 UTC+0","25803.80793679","12756633649.720013","502496904809.10530000"
"2023-08-31 00:00:00 UTC+0","25926.74950681","15105980361.013401","504866563356.80005000"
"2023-08-30 00:00:00 UTC+0","27286.42678633","12199504007.899103","531318737459.26056000"
"2023-08-29 00:00:00 UTC+0","27727.70605940","22662472380.187614","539889797012.05286000"
"2023-08-28 00:00:00 UTC+0","26098.20656514","7815406788.767893","508135344099.07860000"
"2023-08-27 00:00:00 UTC+0","26087.84045823","4399307286.520514","507914757544.48505000"
"2023-08-26 00:00:00 UTC+0","26011.37020073","3771829522.668447","506406574594.85297000"
"2023-08-25 00:00:00 UTC+0","26047.25312404","9006924148.786812","507083183218.66190000"
"2023-08-24 00:00:00 UTC+0","26166.38133235","9473845872.774057","509380291237.35614000"
"2023-08-23 00:00:00 UTC+0","26434.86950759","12745092892.626884","514583628277.61566000"
"2023-08-22 00:00:00 UTC+0","26035.21075160","10567476229.154010","506780740533.34690000"
"2023-08-21 00:00:00 UTC+0","26120.05210271","9939232671.503267","508409183144.13074000"
"2023-08-20 00:00:00 UTC+0","26188.88966229","6414296151.227597","509721561441.88740000"
"2023-08-19 00:00:00 UTC+0","26114.48935062","7698241604.292188","508246877050.98040000"
"2023-08-18 00:00:00 UTC+0","26063.67469994","18211970338.796510","507234764767.88617000"
"2023-08-17 00:00:00 UTC+0","26668.55758377","23635998499.326855","518984451595.53143000"
"2023-08-16 00:00:00 UTC+0","28699.51891275","11105509520.665377","558480067652.81580000"
